epoch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1,learning_rate,elapsed_time
1,1.8237501337095294,33.058,1.578212206530723,40.660000000000004,40.613625740592106,40.66,38.203120958324966,4.2629714200602604e-05,65.33401584625244
2,1.5190011886379602,43.51,1.4145942197483816,47.99,47.93598425966506,47.989999999999995,46.65128691945147,5.049004264917373e-05,130.67394971847534
3,1.3858333630939883,48.937999999999995,1.291107280998473,53.300000000000004,53.384044957742084,53.29999999999999,52.67930194582887,6.34948586067857e-05,195.8142750263214
4,1.3042492615749768,52.470000000000006,1.2632369266194143,54.410000000000004,56.413205269934586,54.410000000000004,54.17092486722211,8.150166645177212e-05,262.12148880958557
5,1.243269337488867,54.910000000000004,1.228666325283658,55.88999999999999,57.149917852597966,55.88999999999999,55.506199532420666,0.00010431316302456008,327.94427251815796
6,1.1831783848192992,57.306000000000004,1.1826416542575617,57.82000000000001,58.79681967217215,57.82000000000001,56.20869568561305,0.0001316793995065061,393.8991508483887
7,1.1362175196028121,58.876,1.1370851351956652,58.940000000000005,60.35577651248789,58.940000000000005,58.597192719529836,0.00016330052014471984,459.3900945186615
8,1.0970452213683701,60.656,1.0926243214850213,59.93000000000001,61.47065797436794,59.92999999999999,59.63782286222015,0.00019883004781427955,524.9479975700378
9,1.0737810091441855,61.502,1.0868687375335937,60.67,62.196313794849026,60.66999999999999,60.05732793599235,0.00023787868041746279,590.3560130596161
10,1.0341901644264035,63.144,1.0258512815852074,63.59,64.17241979912262,63.59,63.103235608663866,0.00028001855652230853,655.391119480133
11,1.0045690092894122,64.02799999999999,1.0808367478619716,61.370000000000005,64.63856199363774,61.370000000000005,61.435993739753016,0.0003247879435012975,720.6741354465485
12,0.97773654343527,64.95400000000001,1.0379714867111984,62.89,65.59822575719971,62.89,61.825967285678985,0.00037169629680155103,787.2265963554382
13,0.9500743725415691,66.2,1.0088076849651944,63.88,67.36017441691928,63.88,63.496424212060084,0.0004202296349114,852.4010787010193
14,0.9297410875482632,66.934,1.008127651017183,64.56,66.39147634525474,64.56,63.56345902690166,0.0004698561711290524,919.3034057617188
15,0.8982750004362268,68.02,0.9526714587667185,66.14,67.6487882053779,66.14000000000001,65.31877817562292,0.0005200321404252652,984.9018447399139
16,0.8788557136455155,69.152,0.9858639282026108,65.4,68.2190007797706,65.40000000000002,64.76080044880784,0.0005702077575542583,1050.5131876468658
17,0.8554800261774331,69.932,0.9015875811789446,67.21000000000001,70.98496270565467,67.21,66.78594479675174,0.000619833241128998,1116.5011913776398
18,0.8291060701584267,70.98400000000001,0.9831738938951189,65.42,69.41581991531963,65.42,65.00688063322494,0.0006683648376541998,1183.2280564308167
19,0.8189353182187775,71.402,0.8683923623364442,69.11,72.41204413082521,69.11,69.04206526822972,0.0007152707795108623,1249.0128736495972
20,0.8011881932044578,71.97,0.8325096251098973,70.73,73.41380057377663,70.73,71.18357042178121,0.0007600371116098481,1315.0487787723541
21,0.7721544161172169,73.03399999999999,0.8557039812491958,70.19999999999999,72.07909036787184,70.2,68.86371385341316,0.0008021733228710335,1381.3611993789673
