Dataset,Activation_Config,Branches,R2,MSE,MAE,Best_Config_For_Dataset,Expected_Best,Source,Parameters,Epochs_To_Target
complex_periodic_efficiency,polynomial_64,polynomial,0.9999924898147583,7.510185241699219e-06,0.0027404717188285704,,,efficiency,5188.0,74.0
complex_periodic_efficiency,polynomial_64x32,polynomial,0.9999922513961792,7.748603820800781e-06,0.002783631408933442,,,efficiency,8711.0,51.0
complex_periodic_efficiency,gabor_64x32,gabor,0.9999920129776001,7.987022399902344e-06,0.00282613205634527,,,efficiency,18405.0,56.0
complex_periodic_efficiency,gabor_32,gabor,0.9999838471412659,1.615285873413086e-05,0.004019061922156819,,,efficiency,1443.0,115.0
complex_periodic_efficiency,fourier+relu_64,fourier+relu,0.99997878074646,2.1219253540039062e-05,0.004606436099637013,,,efficiency,10629.0,125.0
complex_periodic_efficiency,fourier_64,fourier,0.9999775290489197,2.2470951080322266e-05,0.004740353476305566,,,efficiency,6148.0,104.0
complex_periodic_efficiency,polynomial_32,polynomial,0.9999772310256958,2.276897430419922e-05,0.004771684640061539,,,efficiency,1572.0,90.0
complex_periodic_efficiency,fourier_64x32,fourier,0.9999736547470093,2.6345252990722656e-05,0.005132762705475742,,,efficiency,10151.0,57.0
complex_periodic_efficiency,gabor_64,gabor,0.9999726414680481,2.7358531951904297e-05,0.005230538399811658,,,efficiency,4931.0,86.0
complex_periodic_efficiency,fourier+relu_64x32,fourier+relu,0.9999702572822571,2.9742717742919922e-05,0.005453688453048993,,,efficiency,17865.0,77.0
complex_periodic_efficiency,gabor_32x16,gabor,0.9999646544456482,3.534555435180664e-05,0.005945212725530235,,,efficiency,4853.0,82.0
complex_periodic_efficiency,fourier_32,fourier,0.9999592900276184,4.07099723815918e-05,0.006380436692076162,,,efficiency,2052.0,174.0
complex_periodic_efficiency,polynomial_32x16,polynomial,0.9999551773071289,4.482269287109375e-05,0.0066949751957041444,,,efficiency,2567.0,45.0
complex_periodic_efficiency,polynomial_16,polynomial,0.9999457001686096,5.429983139038086e-05,0.007368841930071568,,,efficiency,532.0,151.0
complex_periodic_efficiency,fourier+relu_8,fourier+relu,0.9999361634254456,6.383657455444336e-05,0.007989779380836705,,,efficiency,437.0,214.0
complex_periodic_efficiency,fourier_32x16,fourier,0.999932587146759,6.74128532409668e-05,0.00821053306679699,,,efficiency,3287.0,60.0
complex_periodic_efficiency,fourier+relu_32x16,fourier+relu,0.9999263286590576,7.367134094238281e-05,0.008583201089476048,,,efficiency,5353.0,75.0
complex_periodic_efficiency,relu_64x32,relu,0.9999114274978638,8.857250213623047e-05,0.00941129651728339,,,efficiency,10053.0,131.0
complex_periodic_efficiency,gabor_16,gabor,0.9998882412910461,0.00011175870895385742,0.01057159916729051,,,efficiency,467.0,335.0
complex_periodic_efficiency,gabor_8,gabor,0.9998325109481812,0.00016748905181884766,0.012941756133494698,,,efficiency,171.0,253.0
complex_periodic_efficiency,fourier_8,fourier,0.9997552037239075,0.0002447962760925293,0.015645966767589958,,,efficiency,324.0,276.0
complex_periodic_efficiency,fourier+relu_16,fourier+relu,0.9997361302375793,0.0002638697624206543,0.01624406853040993,,,efficiency,1125.0,231.0
complex_periodic_efficiency,fourier_16,fourier,0.9997309446334839,0.0002690553665161133,0.016402907258047682,,,efficiency,772.0,162.0
complex_periodic_efficiency,fourier+relu_32,fourier+relu,0.9995807409286499,0.00041925907135009766,0.020475816744396247,,,efficiency,3269.0,359.0
complex_periodic_efficiency,relu_32x16,relu,0.9989302158355713,0.001069784164428711,0.03270755515823081,,,efficiency,2725.0,198.0
complex_periodic_efficiency,polynomial_8,polynomial,0.995834231376648,0.004165768623352051,0.06454276584832766,,,efficiency,204.0,250.0
complex_periodic_efficiency,relu_16,relu,0.9875342845916748,0.012465715408325195,0.11164996824148762,,,efficiency,419.0,
complex_periodic_efficiency,relu_32,relu,0.9724899530410767,0.02751004695892334,0.16586152947239857,,,efficiency,1347.0,
complex_periodic_efficiency,relu_8,relu,0.9675760269165039,0.032423973083496094,0.1800665795851526,,,efficiency,147.0,
complex_periodic_efficiency,relu_64,relu,0.7265534400939941,0.27344655990600586,0.5229211794391253,,,efficiency,4739.0,
damped_oscillation,relu_polynomial,"relu, legendre",0.9969915548960367,0.0030084569783260426,0.054849402716219645,relu_polynomial,gabor,basis_selection,,
damped_oscillation,all,"relu, fourier, legendre, chebyshev, hermite, gabor",0.9967154264450073,0.0032845609433328113,0.05731108918292176,relu_polynomial,gabor,basis_selection,,
damped_oscillation,polynomial,"legendre, chebyshev",0.9956110517183939,0.0043889430817216635,0.06624909872384427,relu_polynomial,gabor,basis_selection,,
damped_oscillation,gabor_hermite,"gabor, hermite",0.99490753809611,0.005092476184169452,0.07136158759563475,relu_polynomial,gabor,basis_selection,,
damped_oscillation,relu_fourier,"relu, fourier",0.9907456835110983,0.009254332166165113,0.09619943953145005,relu_polynomial,gabor,basis_selection,,
damped_oscillation,fourier_only,fourier,0.9859501520792643,0.014049860027929148,0.11853210547328158,relu_polynomial,gabor,basis_selection,,
damped_oscillation,relu_only,relu,0.9430139064788818,0.05698609724640846,0.2387176098372478,relu_polynomial,gabor,basis_selection,,
damped_wave_efficiency,polynomial_64x32,polynomial,0.9999917149543762,8.285045623779297e-06,0.002878375518201073,,,efficiency,8711.0,47.0
damped_wave_efficiency,fourier+relu_64x32,fourier+relu,0.999980092048645,1.990795135498047e-05,0.004461832734984635,,,efficiency,17865.0,65.0
damped_wave_efficiency,gabor_32x16,gabor,0.9999773502349854,2.2649765014648438e-05,0.0047591769261762515,,,efficiency,4853.0,93.0
damped_wave_efficiency,polynomial_32x16,polynomial,0.9999752640724182,2.473592758178711e-05,0.004973522653189297,,,efficiency,2567.0,61.0
damped_wave_efficiency,polynomial_64,polynomial,0.9999728798866272,2.7120113372802734e-05,0.005207697511645884,,,efficiency,5188.0,42.0
damped_wave_efficiency,fourier+relu_32x16,fourier+relu,0.9999670386314392,3.2961368560791016e-05,0.005741199226711351,,,efficiency,5353.0,75.0
damped_wave_efficiency,fourier_64x32,fourier,0.9999650120735168,3.49879264831543e-05,0.005915059296672714,,,efficiency,10151.0,69.0
damped_wave_efficiency,gabor_64x32,gabor,0.9999613761901855,3.8623809814453125e-05,0.00621480569402239,,,efficiency,18405.0,72.0
damped_wave_efficiency,polynomial_32,polynomial,0.9999596476554871,4.035234451293945e-05,0.006352349526981293,,,efficiency,1572.0,40.0
damped_wave_efficiency,fourier+relu_64,fourier+relu,0.999954342842102,4.565715789794922e-05,0.006757008058153343,,,efficiency,10629.0,68.0
damped_wave_efficiency,gabor_32,gabor,0.9999536275863647,4.6372413635253906e-05,0.006809729336416676,,,efficiency,1443.0,247.0
damped_wave_efficiency,fourier_64,fourier,0.9999434351921082,5.65648078918457e-05,0.00752095791052215,,,efficiency,6148.0,49.0
damped_wave_efficiency,relu_64x32,relu,0.9999412894248962,5.8710575103759766e-05,0.007662282630114851,,,efficiency,10053.0,90.0
damped_wave_efficiency,polynomial_16,polynomial,0.999938428401947,6.157159805297852e-05,0.007846757167962987,,,efficiency,532.0,63.0
damped_wave_efficiency,fourier_32,fourier,0.9999269843101501,7.301568984985352e-05,0.008544921875,,,efficiency,2052.0,69.0
damped_wave_efficiency,fourier_16,fourier,0.9999154210090637,8.45789909362793e-05,0.0091966836923034,,,efficiency,772.0,81.0
damped_wave_efficiency,fourier+relu_32,fourier+relu,0.9999037981033325,9.620189666748047e-05,0.009808256555957356,,,efficiency,3269.0,84.0
damped_wave_efficiency,fourier+relu_16,fourier+relu,0.9998977184295654,0.00010228157043457031,0.010113435145121084,,,efficiency,1125.0,140.0
damped_wave_efficiency,gabor_64,gabor,0.9998932480812073,0.00010675191879272461,0.01033208201635685,,,efficiency,4931.0,181.0
damped_wave_efficiency,fourier_32x16,fourier,0.9998682141304016,0.00013178586959838867,0.011479802681160885,,,efficiency,3287.0,61.0
damped_wave_efficiency,gabor_16,gabor,0.999845564365387,0.0001544356346130371,0.012427213469359778,,,efficiency,467.0,87.0
damped_wave_efficiency,polynomial_8,polynomial,0.9998354911804199,0.00016450881958007812,0.012826099156800486,,,efficiency,204.0,80.0
damped_wave_efficiency,fourier_8,fourier,0.9998318552970886,0.00016814470291137695,0.012967062231337404,,,efficiency,324.0,161.0
damped_wave_efficiency,fourier+relu_8,fourier+relu,0.9998041391372681,0.0001958608627319336,0.013995029929654798,,,efficiency,437.0,142.0
damped_wave_efficiency,relu_32x16,relu,0.9996402263641357,0.0003597736358642578,0.01896769980425296,,,efficiency,2725.0,199.0
damped_wave_efficiency,gabor_8,gabor,0.9969876408576965,0.003012359142303467,0.05488496280679679,,,efficiency,171.0,276.0
damped_wave_efficiency,relu_8,relu,0.9946803450584412,0.005319654941558838,0.07293596466462096,,,efficiency,147.0,
damped_wave_efficiency,relu_16,relu,0.9945557713508606,0.005444228649139404,0.0737850164270457,,,efficiency,419.0,
damped_wave_efficiency,relu_32,relu,0.9942712783813477,0.005728721618652344,0.07568831890491652,,,efficiency,1347.0,
damped_wave_efficiency,relu_64,relu,0.9261356592178345,0.07386434078216553,0.27177994919082155,,,efficiency,4739.0,
gaussian_bump,all,"relu, fourier, legendre, chebyshev, hermite, gabor",0.9998780290285746,0.00012197210162412375,0.01104409804484385,all,gabor,basis_selection,,
gaussian_bump,polynomial,"legendre, chebyshev",0.9998217026392618,0.00017830148378076652,0.013352957866359292,all,gabor,basis_selection,,
gaussian_bump,relu_fourier,"relu, fourier",0.9995864431063334,0.0004135741716405998,0.020336523096158788,all,gabor,basis_selection,,
gaussian_bump,gabor_hermite,"gabor, hermite",0.9994270006815592,0.0005730111636997511,0.023937651591159712,all,gabor,basis_selection,,
gaussian_bump,relu_polynomial,"relu, legendre",0.9993553558985392,0.0006446429373075565,0.025389819560358372,all,gabor,basis_selection,,
gaussian_bump,relu_only,relu,0.9988129933675131,0.0011870143158982198,0.03445307411390484,all,gabor,basis_selection,,
gaussian_bump,fourier_only,fourier,0.9986020723978678,0.0013979295811926324,0.03738889649605391,all,gabor,basis_selection,,
multi_freq,all,"relu, fourier, legendre, chebyshev, hermite, gabor",0.9995891650517782,0.0004108325132013609,0.02026900375453517,all,fourier,basis_selection,,
multi_freq,gabor_hermite,"gabor, hermite",0.9993836879730225,0.0006163157134627303,0.0248257067062094,all,fourier,basis_selection,,
multi_freq,polynomial,"legendre, chebyshev",0.9992167154947916,0.0007832920528016984,0.027987355230562578,all,fourier,basis_selection,,
multi_freq,relu_polynomial,"relu, legendre",0.998481829961141,0.0015181735313187044,0.03896374637170692,all,fourier,basis_selection,,
multi_freq,fourier_only,fourier,0.9983648657798767,0.0016351321634526055,0.040436767470367924,all,fourier,basis_selection,,
multi_freq,relu_fourier,"relu, fourier",0.992104192574819,0.0078958198428154,0.08885842584029609,all,fourier,basis_selection,,
multi_freq,relu_only,relu,0.9893427491188049,0.010657258797436953,0.10323400020069431,all,fourier,basis_selection,,
polynomial,polynomial,"legendre, chebyshev",0.9997758269309998,0.00022417660996628305,0.014972528509449667,polynomial,legendre,basis_selection,,
polynomial,all,"relu, fourier, legendre, chebyshev, hermite, gabor",0.9995737671852112,0.00042623334350840497,0.02064541943164161,polynomial,legendre,basis_selection,,
polynomial,gabor_hermite,"gabor, hermite",0.9989031553268433,0.0010968450418052573,0.03311865096596263,polynomial,legendre,basis_selection,,
polynomial,fourier_only,fourier,0.9984394709269205,0.0015605352430914838,0.039503610507034465,polynomial,legendre,basis_selection,,
polynomial,relu_fourier,"relu, fourier",0.998287558555603,0.0017124375444836915,0.04138160877109168,polynomial,legendre,basis_selection,,
polynomial,relu_polynomial,"relu, legendre",0.9974445501963297,0.0025554354457805553,0.05055131497578035,polynomial,legendre,basis_selection,,
polynomial,relu_only,relu,0.9873250126838684,0.01267498719971627,0.11258324564390684,polynomial,legendre,basis_selection,,
polynomial_4th_efficiency,gabor_32x16,gabor,0.9999971985816956,2.8014183044433594e-06,0.0016737437989260361,,,efficiency,4853.0,38.0
polynomial_4th_efficiency,gabor_64x32,gabor,0.999996542930603,3.4570693969726562e-06,0.0018593196059238058,,,efficiency,18405.0,40.0
polynomial_4th_efficiency,gabor_64,gabor,0.9999958872795105,4.112720489501953e-06,0.002027984341532733,,,efficiency,4931.0,34.0
polynomial_4th_efficiency,gabor_32,gabor,0.9999922513961792,7.748603820800781e-06,0.002783631408933442,,,efficiency,1443.0,41.0
polynomial_4th_efficiency,polynomial_64,polynomial,0.9999910593032837,8.940696716308594e-06,0.0029900997836708717,,,efficiency,5188.0,35.0
polynomial_4th_efficiency,gabor_16,gabor,0.9999908208847046,9.179115295410156e-06,0.0030297054799782366,,,efficiency,467.0,45.0
polynomial_4th_efficiency,polynomial_64x32,polynomial,0.9999904036521912,9.59634780883789e-06,0.0030977972510863087,,,efficiency,8711.0,43.0
polynomial_4th_efficiency,fourier+relu_64,fourier+relu,0.9999901652336121,9.834766387939453e-06,0.0031360431100256663,,,efficiency,10629.0,55.0
polynomial_4th_efficiency,fourier_16,fourier,0.9999900460243225,9.953975677490234e-06,0.0031549921834277553,,,efficiency,772.0,56.0
polynomial_4th_efficiency,polynomial_16,polynomial,0.9999879002571106,1.2099742889404297e-05,0.0034784684689392106,,,efficiency,532.0,49.0
polynomial_4th_efficiency,fourier_64,fourier,0.9999868869781494,1.3113021850585938e-05,0.003621190667527179,,,efficiency,6148.0,40.0
polynomial_4th_efficiency,fourier_64x32,fourier,0.9999856352806091,1.436471939086914e-05,0.0037900817129541075,,,efficiency,10151.0,50.0
polynomial_4th_efficiency,polynomial_32,polynomial,0.9999848008155823,1.519918441772461e-05,0.003898613140300613,,,efficiency,1572.0,58.0
polynomial_4th_efficiency,fourier+relu_16,fourier+relu,0.9999846816062927,1.531839370727539e-05,0.003913871958467138,,,efficiency,1125.0,70.0
polynomial_4th_efficiency,fourier+relu_32x16,fourier+relu,0.9999817609786987,1.823902130126953e-05,0.004270716719857398,,,efficiency,5353.0,61.0
polynomial_4th_efficiency,fourier+relu_64x32,fourier+relu,0.9999811053276062,1.8894672393798828e-05,0.0043468002477453265,,,efficiency,17865.0,71.0
polynomial_4th_efficiency,fourier_32,fourier,0.9999802112579346,1.9788742065429688e-05,0.004448453896066552,,,efficiency,2052.0,42.0
polynomial_4th_efficiency,relu_64x32,relu,0.999975323677063,2.467632293701172e-05,0.004967526843109327,,,efficiency,10053.0,83.0
polynomial_4th_efficiency,gabor_8,gabor,0.9999733567237854,2.664327621459961e-05,0.005161712527311029,,,efficiency,171.0,42.0
polynomial_4th_efficiency,relu_32x16,relu,0.9999682307243347,3.17692756652832e-05,0.005636424013972264,,,efficiency,2725.0,77.0
polynomial_4th_efficiency,fourier_32x16,fourier,0.9999613165855408,3.8683414459228516e-05,0.006219599220145018,,,efficiency,3287.0,52.0
polynomial_4th_efficiency,polynomial_8,polynomial,0.999953031539917,4.696846008300781e-05,0.006853353929501074,,,efficiency,204.0,75.0
polynomial_4th_efficiency,polynomial_32x16,polynomial,0.9999507069587708,4.929304122924805e-05,0.007020900314720901,,,efficiency,2567.0,67.0
polynomial_4th_efficiency,relu_64,relu,0.9999305605888367,6.943941116333008e-05,0.008333031330994146,,,efficiency,4739.0,84.0
polynomial_4th_efficiency,fourier_8,fourier,0.9999247789382935,7.522106170654297e-05,0.008673007650552544,,,efficiency,324.0,72.0
polynomial_4th_efficiency,fourier+relu_32,fourier+relu,0.9999158978462219,8.410215377807617e-05,0.0091707226420864,,,efficiency,3269.0,64.0
polynomial_4th_efficiency,fourier+relu_8,fourier+relu,0.9998632073402405,0.00013679265975952148,0.01169583942090184,,,efficiency,437.0,117.0
polynomial_4th_efficiency,relu_16,relu,0.9995346069335938,0.00046539306640625,0.02157297073669387,,,efficiency,419.0,219.0
polynomial_4th_efficiency,relu_32,relu,0.9993946552276611,0.0006053447723388672,0.024603755248718988,,,efficiency,1347.0,87.0
polynomial_4th_efficiency,relu_8,relu,0.9982650279998779,0.0017349720001220703,0.04165299509185468,,,efficiency,147.0,142.0
pure_sine,all,"relu, fourier, legendre, chebyshev, hermite, gabor",0.9997717539469401,0.00022825590470650545,0.015108140345737639,all,fourier,basis_selection,,
pure_sine,polynomial,"legendre, chebyshev",0.9996100862820944,0.00038992152743351954,0.019746430751746494,all,fourier,basis_selection,,
pure_sine,gabor_hermite,"gabor, hermite",0.9995155135790507,0.00048448793434848386,0.022011086623528697,all,fourier,basis_selection,,
pure_sine,relu_polynomial,"relu, legendre",0.9994420409202576,0.0005579538701567799,0.023621047185863286,all,fourier,basis_selection,,
pure_sine,relu_fourier,"relu, fourier",0.99903804063797,0.0009619522800979515,0.03101535555330539,all,fourier,basis_selection,,
pure_sine,fourier_only,fourier,0.9988784193992615,0.0011215718113817275,0.033489876252111285,all,fourier,basis_selection,,
pure_sine,relu_only,relu,0.9562433163324991,0.04375669204940399,0.2091810030796391,all,fourier,basis_selection,,
sine_wave_efficiency,gabor_64x32,gabor,0.9999964833259583,3.516674041748047e-06,0.0018752797236007343,,,efficiency,18405.0,35.0
sine_wave_efficiency,polynomial_64,polynomial,0.9999935030937195,6.496906280517578e-06,0.00254890295627699,,,efficiency,5188.0,33.0
sine_wave_efficiency,polynomial_64x32,polynomial,0.9999934434890747,6.556510925292969e-06,0.002560568476977909,,,efficiency,8711.0,43.0
sine_wave_efficiency,fourier_32x16,fourier,0.9999914765357971,8.52346420288086e-06,0.00291949725173374,,,efficiency,3287.0,61.0
sine_wave_efficiency,gabor_64,gabor,0.9999909996986389,9.000301361083984e-06,0.003000050226426882,,,efficiency,4931.0,34.0
sine_wave_efficiency,polynomial_32x16,polynomial,0.9999904632568359,9.5367431640625e-06,0.003088161777508183,,,efficiency,2567.0,49.0
sine_wave_efficiency,polynomial_32,polynomial,0.9999894499778748,1.055002212524414e-05,0.003248079759680193,,,efficiency,1572.0,32.0
sine_wave_efficiency,gabor_32x16,gabor,0.9999893307685852,1.0669231414794922e-05,0.0032663789453758916,,,efficiency,4853.0,43.0
sine_wave_efficiency,fourier+relu_64x32,fourier+relu,0.9999887943267822,1.1205673217773438e-05,0.0033474875978520722,,,efficiency,17865.0,69.0
sine_wave_efficiency,fourier+relu_64,fourier+relu,0.9999880790710449,1.1920928955078125e-05,0.003452669830012439,,,efficiency,10629.0,52.0
sine_wave_efficiency,fourier_64,fourier,0.9999862313270569,1.3768672943115234e-05,0.003710616248430338,,,efficiency,6148.0,36.0
sine_wave_efficiency,polynomial_16,polynomial,0.9999856352806091,1.436471939086914e-05,0.0037900817129541075,,,efficiency,532.0,61.0
sine_wave_efficiency,fourier_64x32,fourier,0.9999854564666748,1.4543533325195312e-05,0.003813598474563796,,,efficiency,10151.0,53.0
sine_wave_efficiency,fourier+relu_32x16,fourier+relu,0.9999828934669495,1.710653305053711e-05,0.0041360044790276895,,,efficiency,5353.0,69.0
